PostNumber,DiseaseId,DiseaseName,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName
1,C0005741,Blepharitis,,,,,,,,
1,,,C0033774,Pruritus,,,,,,
1,,,,,,,,,C0015392,Eye
1,,,,,,,,,C1281584,Entire finger
2,C0005741,Blepharitis,,,,,,,,
3,C0005741,Blepharitis,,,,,,,,
3,,,C0557875,Tired,,,,,,
3,,,,,,,,,C0229257,Structure of left upper eyelid
4,C0005741,Blepharitis,,,,,,,,
5,C0005741,Blepharitis,,,,,,,,
6,C0005741,Blepharitis,,,,,,,,
6,,,,,C0509489,close the eyes,,,,
6,,,,,,,,,C0015392,Eye
7,C0005741,Blepharitis,,,,,,,,
7,,,,,C0184661,Interventional procedure,,,,
7,,,,,,,,,C1280202,Entire eye
7,,,,,,,,,C2706046,Eye lid
7,,,,,,,,,C0015426,Eyelid structure
8,C0005741,Blepharitis,,,,,,,,
9,C0041834,Erythema,,,,,,,,
9,,,,,C0184661,Interventional procedure,,,,
9,,,,,C0040461,Toothbrushing,,,,
9,,,,,C0087111,Therapeutic procedure,,,,
9,,,,,,,,,C0015426,Eyelid structure
10,C3887505,DYSFUNCTION - SKIN DISORDERS,,,,,,,,
10,,,C0314719,Dryness of eye,,,,,,
10,,,,,,,,,C1285092,Gland
10,,,,,,,,,C0015392,Eye
13,C0009450,Communicable Diseases,,,,,,,,
13,,,C0234233,Sore to touch,,,,,,
13,,,,,C0184661,Interventional procedure,,,,
13,,,,,C1883583,Yoga,,,,
13,,,,,,,,,C1552158,Supernumerary mandibular right central primary incisor
13,,,,,,,,,C1305417,Entire elbow region
13,,,,,,,,,C1268255,Entire right upper arm
13,,,,,,,,,C1268257,Entire right elbow region
13,,,,,,,,,C0262950,Skeletal bone
13,,,,,,,,,C1269078,Entire upper limb
23,C0342895,Fish-Eye Disease,,,,,,,,
23,,,C0221512,Stomach ache,,,,,,
23,,,C0015672,Fatigue,,,,,,
23,,,C0030193,Pain,,,,,,
23,,,,,C0301571,Liquid diet,,,,
23,,,,,C1533685,Injection procedure,,,,
23,,,,,,,,,C1278920,Entire stomach
23,,,,,,,,,C0040408,Tongue
23,,,,,,,,,C0042449,Veins
33,C0699744,Infection of ear,,,,,,,,
33,,,C0232431,Cold sweat,,,,,,
33,,,,,,,,,C1268973,Entire inner ear
33,,,,,,,,,C0521421,Entire ear
34,C0008373,Cholesteatoma,,,,,,,,
34,,,C0013456,Earache,,,,,,
34,,,C0236000,Jaw pain,,,,,,
34,,,,,,,,,C0229299,Left ear structure
34,,,,,,,,,C1269048,Entire temporomandibular joint
34,,,,,,,,,C0521421,Entire ear
34,,,,,,,,,C0022359,Jaw
35,C0043154,Dental White Spot,,,,,,,,
35,,,,,,,,,C1720679,Entire right anterior naris
35,,,,,,,,,C0041445,Tympanic membrane structure
35,,,,,,,,,C1720438,Entire left anterior naris
35,,,,,,,,,C0927939,Right tympanic membrane
39,C0009443,Common Cold,,,,,,,,
39,,,C0234238,Ache,,,,,,
39,,,C0012833,Dizziness,,,,,,
39,,,C0018681,Headache,,,,,,
39,,,C0392674,Exhaustion,,,,,,
39,,,,,,,,,C0041445,Tympanic membrane structure
39,,,,,,,,,C1552158,Supernumerary mandibular right central primary incisor
39,,,,,,,,,C0521421,Entire ear
40,C0155508,Viral labyrinthitis,,,,,,,,
40,,,C0027497,Nausea,,,,,,
40,,,,,,,,,C0521421,Entire ear
41,C0699744,Infection of ear,,,,,,,,
41,,,C0013456,Earache,,,,,,
41,,,C0030193,Pain,,,,,,
41,,,,,C0301571,Liquid diet,,,,
41,,,,,,,,,C0229299,Left ear structure
41,,,,,,,,,C0041445,Tympanic membrane structure
41,,,,,,,,,C4068922,Earlobe
41,,,,,,,,,C0229315,Ear lobe
41,,,,,,,,,C0022359,Jaw
41,,,,,,,,,C0521421,Entire ear
42,C0699744,Infection of ear,,,,,,,,
42,,,C0027497,Nausea,,,,,,
42,,,C0012833,Dizziness,,,,,,
42,,,,,,,,,C0521421,Entire ear
42,,,,,,,,,C0022359,Jaw
51,C0021355,Infective otitis externa,,,,,,,,
51,,,C0030193,Pain,,,,,,
51,,,,,,,,,C0521421,Entire ear
51,,,,,,,,,C0022359,Jaw
52,C0009450,Communicable Diseases,,,,,,,,
52,,,C0476206,Dizziness and giddiness symptoms,,,,,,
52,,,C0013456,Earache,,,,,,
59,C0855227,purging,,,,,,,,
59,,,C1442877,Sore skin,,,,,,
59,,,,,,,,,C1280698,Entire throat (surface region of neck)
60,C0003123,Anorexia,,,,,,,,
60,,,,,C1522704,Exercise Pain Management,,,,
70,C0003123,Anorexia,,,,,,,,
72,C0152164,Cyclical vomiting syndrome (disorder),,,,,,,,
72,,,C0221423,Illness (finding),,,,,,
72,,,C0042963,Vomiting,,,,,,
72,,,C0152165,Persistent vomiting,,,,,,
72,,,C0231218,Malaise,,,,,,
73,C0270724,Infantile Neuroaxonal Dystrophy,,,,,,,,
73,,,,,C1522704,Exercise Pain Management,,,,
79,C0040128,Thyroid Diseases,,,,,,,,
79,,,C0497406,Overweight,,,,,,
83,C0011175,Dehydration,,,,,,,,
83,,,C0027497,Nausea,,,,,,
83,,,C0020175,Hunger,,,,,,
84,C0003123,Anorexia,,,,,,,,
84,,,,,,,,,C1278978,Entire kidney
84,,,,,,,,,C0545792,hepato-renal
84,,,,,,,,,C0023884,Liver
87,C0017168,Gastroesophageal reflux disease,,,,,,,,
87,,,C0221423,Illness (finding),,,,,,
87,,,,,,,,,C1281590,Entire head
88,C0342895,Fish-Eye Disease,,,,,,,,
90,C0796085,Nance-Horan syndrome,,,,,,,,
90,,,C0221423,Illness (finding),,,,,,
90,,,C0042963,Vomiting,,,,,,
90,,,,,C0009244,Cognitive Therapy,,,,
91,C3887938,COLORBLINDNESS| PARTIAL| DEUTAN SERIES,,,,,,,,
97,C0272285,Heparin-induced thrombocytopenia,,,,,,,,
97,,,C0030193,Pain,,,,,,
97,,,,,,,,,C1305417,Entire elbow region
97,,,,,,,,,C1269612,Entire upper arm
97,,,,,,,,,C1268258,Entire left elbow region
97,,,,,,,,,C0262950,Skeletal bone
99,C0009443,Common Cold,,,,,,,,
99,,,C0278148,Throbbing pain,,,,,,
99,,,C2242996,Has tingling sensation,,,,,,
99,,,C0030193,Pain,,,,,,
99,,,,,,,,,C1305417,Entire elbow region
99,,,,,,,,,C1278847,Entire ulnar nerve
99,,,,,,,,,C1269612,Entire upper arm
101,C0917811,Nerve Entrapment,,,,,,,,
101,,,C0239266,Pain in elbow,,,,,,
101,,,C0030193,Pain,,,,,,
101,,,C0239589,Pain in finger,,,,,,
101,,,,,C1963578,Release (procedure),,,,
101,,,,,,,,,C0230398,Fourth finger
101,,,,,,,,,C1305417,Entire elbow region
101,,,,,,,,,C1269613,Entire thumb
101,,,,,,,,,C1280541,Entire nerve
105,C0014518,Toxic Epidermal Necrolysis,,,,,,,,
105,,,C0231528,Myalgia,,,,,,
105,,,C0030193,Pain,,,,,,
105,,,C0234233,Sore to touch,,,,,,
105,,,,,,,,,C1305417,Entire elbow region
105,,,,,,,,,C1269612,Entire upper arm
105,,,,,,,,,C0262950,Skeletal bone
106,C0271000,Metallosis,,,,,,,,
106,,,C0221423,Illness (finding),,,,,,
106,,,C0392674,Exhaustion,,,,,,
106,,,,,C0003893,Arthroplasty,,,,
106,,,,,C0558347,Surgical revision,,,,
106,,,,,C0152277,Incision and drainage,,,,
106,,,,,C0186781,Arthroplasty| Replacement| Elbow,,,,
106,,,,,,,,,C0020164,Bone structure of humerus
108,C0746848,nerve problem nos,,,,,,,,
108,,,,,,,,,C1278847,Entire ulnar nerve
111,C0039082,Syndrome,,,,,,,,
111,,,,,,,,,C1305417,Entire elbow region
111,,,,,,,,,C0041602,Structure of ulnar nerve
111,,,,,,,,,C1269078,Entire upper limb
112,C0039516,Tennis Elbow,,,,,,,,
112,,,C0239266,Pain in elbow,,,,,,
112,,,C0278144,Dull pain,,,,,,
112,,,C0239667,Pain in forearm,,,,,,
112,,,C0030193,Pain,,,,,,
112,,,C0455270,Sharp pain,,,,,,
112,,,,,C3814046,PAD Regimen,,,,
112,,,,,C0565514,Compression procedure,,,,
112,,,,,,,,,C0041600,Bone structure of ulna
112,,,,,,,,,C1305417,Entire elbow region
112,,,,,,,,,C1269612,Entire upper arm
112,,,,,,,,,C1269613,Entire thumb
112,,,,,,,,,C1268257,Entire right elbow region
112,,,,,,,,,C1760774,Structure of muscle of forearm
112,,,,,,,,,C1281583,Entire hand
112,,,,,,,,,C0222681,Structure of epicondyle
112,,,,,,,,,C0016536,Forearm
112,,,,,,,,,C0039508,Tendon structure
115,C0270724,Infantile Neuroaxonal Dystrophy,,,,,,,,
115,,,C0030193,Pain,,,,,,
115,,,,,,,,,C1305417,Entire elbow region
115,,,,,,,,,C0006090,Brachial plexus structure
115,,,,,,,,,C1269078,Entire upper limb
122,C0042870,Vitamin D Deficiency,,,,,,,,
122,,,C0028643,Numbness,,,,,,
122,,,C0857073,cold hands & feet,,,,,,
122,,,C0522245,Sensation of hot and cold,,,,,,
122,,,C2242996,Has tingling sensation,,,,,,
122,,,C0751372,Nerve Pain,,,,,,
122,,,,,,,,,C0018787,Heart
122,,,,,,,,,C0036270,Scalp structure
125,C0149696,Food intolerance (disorder),,,,,,,,
125,,,C0221423,Illness (finding),,,,,,
125,,,C2129214,Loose stool,,,,,,
126,C0024523,Malabsorption Syndrome,,,,,,,,
126,,,C0151825,Bone pain,,,,,,
126,,,C0015672,Fatigue,,,,,,
126,,,,,C0339897,Transjugular intrahepatic portosystemic shunt procedure,,,,
126,,,,,,,,,C0008913,Bone structure of clavicle
126,,,,,,,,,C1305418,Entire calf of leg (body structure)
126,,,,,,,,,C0019552,Hip structure
126,,,,,,,,,C4019107,Collar Bone
126,,,,,,,,,C0038293,Sternum
127,C0860475,lactose intolerant,,,,,,,,
127,,,C0221512,Stomach ache,,,,,,
127,,,C0221423,Illness (finding),,,,,,
