Source,Destination,Weight
C0033774,C0557875,10.0
C0033774,C0314719,1.0
C0033774,C0234233,26.0
C0033774,C0221512,3.0
C0033774,C0015672,10.0
C0033774,C0030193,60.0
C0033774,C0013456,3.0
C0033774,C0236000,1.0
C0033774,C0234238,6.0
C0033774,C0012833,3.0
C0033774,C0018681,7.0
C0033774,C0392674,7.0
C0033774,C0027497,8.0
C0033774,C1442877,8.0
C0033774,C0221423,18.0
C0033774,C0042963,2.0
C0033774,C0231218,18.0
C0033774,C0497406,5.0
C0033774,C2242996,7.0
C0033774,C0239589,2.0
C0033774,C0231528,6.0
C0033774,C0455270,2.0
C0033774,C0028643,4.0
C0033774,C0857073,1.0
C0033774,C0751372,2.0
C0033774,C0151825,1.0
C0033774,C0009806,9.0
C0033774,C0857027,1.0
C0033774,C1291077,2.0
C0033774,C1579931,6.0
C0033774,C0039070,6.0
C0033774,C0221232,3.0
C0033774,C0270996,2.0
C0033774,C0015230,69.0
C0033774,C3714552,10.0
C0033774,C0028084,7.0
C0033774,C0151908,6.0
C0033774,C0848332,2.0
C0033774,C0220870,1.0
C0033774,C0518214,1.0
C0033774,C0857057,4.0
C0033774,C0849640,1.0
C0033774,C0239313,1.0
C0033774,C0036572,8.0
C0033774,C0240194,1.0
C0033774,C0008031,2.0
C0033774,C0231617,9.0
C0033774,C0040822,4.0
C0033774,C0027769,4.0
C0033774,C0011991,6.0
C0033774,C0741585,2.0
C0033774,C0013404,5.0
C0033774,C0037088,4.0
C0033774,C0026821,3.0
C0033774,C0085593,1.0
C0033774,C0917801,5.0
C0033774,C0683369,8.0
C0033774,C0278141,1.0
C0033774,C0085624,15.0
C0033774,C0542476,1.0
C0033774,C0037011,1.0
C0033774,C0004604,5.0
C0033774,C0000737,3.0
C0033774,C0032781,1.0
C0033774,C0085602,1.0
C0033774,C0003862,6.0
C0033774,C0520963,1.0
C0033774,C3257803,1.0
C0033774,C0235234,2.0
C0033774,C0401149,1.0
C0033774,C0042571,2.0
C0033774,C0600142,3.0
C0033774,C0344232,1.0
C0033774,C0028081,1.0
C0033774,C0027424,2.0
C0033774,C0023380,1.0
C0033774,C0700590,1.0
C0033774,C1260880,1.0
C0033774,C0150055,1.0
C0033774,C0235129,2.0
C0033774,C1446787,1.0
C0033774,C1579838,1.0
C0033774,C0242429,5.0
C0033774,C0877491,1.0
C0033774,C0849852,1.0
C0033774,C0024031,1.0
C0033774,C0234230,2.0
C0033774,C0596601,1.0
C0033774,C0014724,1.0
C0033774,C0748706,1.0
C0033774,C1321898,1.0
C0033774,C0302539,3.0
C0033774,C0344375,1.0
C0033774,C1517205,5.0
C0033774,C0010200,8.0
C0033774,C0037763,1.0
C0033774,C2364135,1.0
C0033774,C0392171,3.0
C0033774,C0677500,5.0
C0033774,C0016382,3.0
C0033774,C0231706,1.0
C0033774,C0857245,2.0
C0033774,C0277961,1.0
C0033774,C0312414,1.0
C0033774,C0278145,1.0
C0033774,C0018834,2.0
C0033774,C0232292,4.0
C0033774,C0043144,1.0
C0033774,C0024902,1.0
C0033774,C0016204,1.0
C0033774,C0281856,1.0
C0033774,C0235108,1.0
C0033774,C0151786,1.0
C0033774,C0563277,1.0
C0033774,C0851121,1.0
C0033774,C0849850,1.0
C0033774,C2957106,2.0
C0033774,C0558489,1.0
C0033774,C0019559,1.0
C0033774,C0240211,2.0
C0033774,C0946092,1.0
C0033774,C0085631,2.0
C0033774,C0423673,1.0
C0033774,C0239511,1.0
C0033774,C0427008,1.0
C0033774,C0015468,1.0
C0033774,C0522359,1.0
C0033774,C0278146,2.0
C0033774,C0221170,1.0
C0033774,C0747927,1.0
C0033774,C0231217,1.0
C0033774,C0240327,2.0
C0033774,C0812426,2.0
C0033774,C0857072,1.0
C0033774,C0425485,1.0
C0033774,C0740418,1.0
C0033774,C0848283,1.0
C0033774,C0151827,1.0
C0033774,C0235290,1.0
C0033774,C0033775,3.0
C0033774,C0849963,1.0
C0033774,C0427149,1.0
C0033774,C0574002,1.0
C0033774,C0241057,1.0
C0033774,C0240007,1.0
C0033774,C0087169,1.0
C0033774,C0231655,1.0
C0033774,C0476288,1.0
C0033774,C0439814,3.0
C0033774,C0234655,1.0
C0033774,C0848464,1.0
C0033774,C0578454,1.0
C0033774,C0235267,1.0
C0033774,C0423640,1.0
C0033774,C0016199,1.0
C0033774,C0848720,1.0
C0033774,C0159028,1.0
C0033774,C0476270,1.0
C0033774,C0877495,1.0
C0033774,C0553713,1.0
C0033774,C1704276,1.0
C0033774,C2169806,1.0
C0033774,C0026838,1.0
C0033774,C0423006,2.0
C0033774,C0559687,1.0
C0033774,C0010201,1.0
C0033774,C0027796,1.0
C0033774,C0578050,1.0
C0033774,C0426359,1.0
C0033774,C0152029,1.0
C0033774,C0422833,1.0
C0033774,C0586407,1.0
C0033774,C0241165,1.0
C0033774,C0017672,1.0
C0033774,C0235706,1.0
C0033774,C0239181,1.0
C0033774,C0034886,1.0
C0033774,C0232861,1.0
C0033774,C0239435,1.0
C0033774,C0240557,1.0
C0033774,C0240941,4.0
C0033774,C0262397,1.0
C0033774,C0858709,1.0
C0557875,C0314719,3.0
C0557875,C0234233,18.0
C0557875,C0221512,10.0
C0557875,C0015672,38.0
C0557875,C0030193,76.0
C0557875,C0232431,1.0
C0557875,C0013456,3.0
C0557875,C0234238,20.0
C0557875,C0012833,27.0
C0557875,C0018681,36.0
C0557875,C0392674,19.0
C0557875,C0027497,30.0
C0557875,C1442877,1.0
C0557875,C0221423,46.0
C0557875,C0042963,8.0
C0557875,C0231218,30.0
C0557875,C0497406,4.0
C0557875,C0020175,9.0
C0557875,C0278148,2.0
C0557875,C2242996,16.0
C0557875,C0231528,6.0
C0557875,C0278144,1.0
C0557875,C0455270,2.0
C0557875,C0028643,3.0
C0557875,C0751372,2.0
C0557875,C0151825,3.0
C0557875,C0009806,14.0
C0557875,C0857027,3.0
C0557875,C1291077,12.0
C0557875,C1579931,4.0
