disease,postLink,postHeading,postContent
Covid,https://connect.mayoclinic.org/discussion/anaphylaxis/,Exercise-Induced Anaphylaxis?,"I’m a healthy 69 yr old male. I got COVID in February of 2020. Since that time I’ve become almost totally disabled with what appears to be exsersize induced anaphylaxis. On level ground I do very well, stairs not good. Using my upper body not good, bending over is not good. I have several symptoms of Dysautonomia. What happens is my heart rate will hit 132 bpm, BP 80/70 and I can’t breathe! It is life threatening and no Doctor wants to see me anymore. I was prescribed an epipen. Next time I’m using it, very sorry I didn’t two nights ago. I pray no one else has this. "
Covid,https://connect.mayoclinic.org/discussion/any-benefits-to-taking-prednisone-5-mg-for-long-covid-symptoms/,Any benefits to taking prednisone 5 mg for long Covid symptoms ?,"An immunologist in NYC who works with long Covid patients prescribed prednisone 5 mg for my long Covid 19 symptoms: brain fog, fatigue , joint and muscle pain. I am already on low dose naltrexone (LDN), aspirin 84 mg and statin Lipitor 10mg. She said that all of those drugs can be helpful to address , micro blood clots, chronic inflammation associated with long Covid. Does anyone have experiences with using prednisone 5 mg daily?  She also mentioned antivirals like Paxlovid , but stated that there were side effects. A few people on the forum mentioned Adderal for fatigue ? Comments and thoughts greatly appreciated !  "
Covid,https://connect.mayoclinic.org/discussion/has-anyone-tried-creatine-for-post-covid-fatigue/,Has anyone tried creatine for post covid fatigue?,I read an article recently about taking creatine to help with post covid fatigue. I was wondering if anyone here has tried it.  
Covid,https://connect.mayoclinic.org/discussion/treatment-ideas/,Post-COVID Treatment Ideas,"Acupuncture Naproxine ( for inflamation) Fish Oil Omega-3/ 1400 mg EPA/480 mg DHA( for brain) Folic Acid ( for brain) apps – cog pt ( iphone/ipad), Lumocity, play / learn sudoku/chess meditation apps ( calm, headspace, waking up/sam harris) excercise ( swimming / biking/community) sleep ( check if you have apnea) modafinil ( brain) Cvac TMS *these are things I’m experimenting with and are in no way absolutes for anyone. Try at your own risk and comfort. "
Covid,https://connect.mayoclinic.org/discussion/covid-tremors-and-covid-vibrations-support-group-and-myoclonus-jerks/,Covid Tremors and Covid Vibrations support group and Myoclonus (jerks),"Is there any treatment for Covid Tremors and Covid Vibrations and Myoclonus (sudden muscle jerks)? My wife first got Covid in June of 2022, then in January of 2023  she got worse every day. Her fatigue got so bad she was in a wheelchair and one or two days away from going and probably not returning from the hospital. BUT, we found LDN (low dose naltrexone) and had an immediate good response for her fatigue (she is still very fatigued) 
However, the Covid Tremors and Covid Vibrations and Myoclonus (sudden muscle jerks) have not gotten better and at times gotten worse. Her hand will travel 12 or more inches during her tremors. She can not eat or drink while she is in this state. If these tremors get worse, she will not be able to eat or drink and we all know how that ends. 
She needs HELP 
our PC has sent a referral to Mayo in Phonix, I pray Mayo will accept her.  PLEASE HELP "
Covid,https://connect.mayoclinic.org/discussion/lung-nodules-post-covid/,Lung nodules post covid,"I just found out I have 2 lung nodules plus a few micro nodules in my upper left lung, don’t believe they are malignant . I went into the Dr for severe weakness and fatigue. My last bout with COViD was 2/2022. I have not smoked since 1974 and I don’t have a history of lung issues in my family. These nodules are new soft tissue since my last X-ray 2/2022. Anyone else experiencing this? "
Covid,https://connect.mayoclinic.org/discussion/latest-update-statin-for-covid/,**latest update** - Statin for Covid,"I thought this info would be helpful since we NEED to keep in the know and whatever we can do for support in helping one another. Since we now know Covid attacks are blood cells and is no longer a ""lung"" issue as originally thought, I came across some info on Gov site, immune and disease specialist's site as well as doctors reports that taking a Statin drug prevents severe Covid and hospitalization.   Oddly enough, between my friends, colleagues, neighbors and family who are on a statin drug, did NOT catch Covid, to include my brother who was in a household with folk who had Covid!  Per the report, since Covid causes severe inflammation in our body due to the virus attaching itself and attack our blood, the statin is preventing Covid from going rampant and attacking our blood cells.  I'm curious, how many folks on this site are on a statin?  I'm guessing not many and those that are won't be on this site because they either recovered just fine or never got Covid.  "
Covid,https://connect.mayoclinic.org/discussion/inner-ear-pressure-motion-sickness-fatigue/,"Inner ear pressure, motion sickness, fatigue ","Hi, all!  It’s been so helpful seeing that it’s not just me still dealing with issues after Covid. I tested positive on December 31 of last year. My struggles have been with fatigue (like everyone else), low blood pressure, inner ear pressure & motion sickness. I was on antibiotics & nasal sprays for the ear pressure which were no help. Finally decided to try vestibular physical therapy. My therapist was amazing. While it didn’t relieve the ear pressure, she helped me be able to ride in a car longer than 5 minutes without feeling nauseated. My ear issue was not vertigo. It’s so hard getting others to understand that. The pressure worsens the more fatigued I am experiencing. It’s also makes my hearing worse. Doctors are at a loss as how to help. Fatigue is a battle. I’ll feel fine and participate in some type of activity then suffer for a couple of days with fatigue. I try to listen to my body & not overdue but . . . it’s hard. My husband & I retired shortly before I got Covid.  We’d like to do activities. I try but suffer afterwards. Fatigue is a beast. People don’t understand that while I may look & sound fine, fatigue is my constant companion. I do walk each morning which I need to do for my mental well being. I lost some weight. It’s slowly coming back. Had a stretch where I had low blood pressure. It was in the 80/50 range. It’s come back up most days to a more normal level. My doctor lowered the beta blocker I was on for migraines. You can imagine what has happened since. Yes, my migraines are slowly coming back. Yuk! My PCP referred me to the University of Florida’s long Covid treatment program. Earliest appointment I could get is mid September. One day at a time. Such an awful experience!!  "
Covid,https://connect.mayoclinic.org/discussion/recommendations-on-specific-clinics-for-long-covid/,Recommendations on specific clinics for long COVID,"I am totally frustrated with the options for getting treated for Long COVID.  I have been unable to basically walk since Jan. 2021 and have tried everything I can think of to improve with no help.  I know long COVID is a new disease and there is not much known about it, but I am  ready to try anything.  I tried getting many, many tests, a ton of physical therapy and nothing has helped.  I think it has to do with my inner ear and when I get stuffed up, my balance gets even worse.  Any suggestions and specific recommendations on doctor or clinics to try??? "
Covid,https://connect.mayoclinic.org/discussion/post-covid-head-pressure-dizziness/,Post Covid Head Pressure/ Dizziness,"I am new here, I had covid last year, I have not been the same since, I feel like I am dizzy often, I have head tightness and pressure, some times stabbing pain in my temples. Feels like vertigo at night when I am just sitting there. its horrible, I had had 2 cat scans of my head, nothing came up. I really believe this is from Covid.  "
