disease,postLink,postHeading,postContent
Covid,https://www.medhelp.org/posts/COVID19/Constant-Sickness/show/3076575,Constant Sickness,"Has anyone constantly been getting sick since having covid? Ever since I had it in July of last year, maybe a month or so afterward, I have been getting sick nonstop from stomach bugs, strep, and the main kicker which is cold/allergy like symptoms with sore throat, sinus, mucus, and sometimes coughing, etc... anything and everything! Not even exaggerating, I get sick every other week and at the most two weeks if I am very lucky. I feel good for a week at a time and it's usually when I'm on antibiotics. I have taken antiboitcs 4 times this year (it's only the beginning of May) for the cold/allergy symptoms because it always seems to return then turn into a sinus infection or just a horrid sickness that I can't get rid of without treatment. Over the counter medication seems to do absolutely nothing for me.. dayquil, nyquil, claritin, zyrtec, flonase, you name it... no relief. I've tried taking womens vitamins, all kinds of immune vitamins... nothing seems to improve or help. I even ended up getting c diff and landed in the hospital for about a week due to taking so many antibiotics... last course they put me on for 3 weeks... I am so afraid to get sick again... but I already feel it coming on now that I'm toward the end of the c diff issue.. sore throat started coming on yesterday and now I have that overall sick feeling coming on today with slight stuffy nose and mucus this morning. Please HELP!!!!!! I am so depressed. I cannot keep doing this, as it is taking my entire life from me. All I have time to do now is work then alternate between being sick and then spending the time I am well cleaning and catching up on housework I couldn't do while sick then cycle repeat. All I want is to be able to take my kids places and do something fun for once.. Doctors are no help. I have an allergy test scheduled, but I keep having to reschedule due to illness. I also just ordered a genetics kit to see if that turns up any kind of beneficial results. I am so desperate. Someone please help me... :("
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355,Reminder - MedHelp an evidence-based site.,"We are a science- and evidence-based medical support and information site. We provide sound, substantiated advice to our members and readers. As per our Coronavirus forum policy, any statements of scientific or medical fact be substantiated by a link to a credible source. To see our policy - https:// We are not a political site. Our members come from all over the world, and many are not aware of, nor do they care about, U.S. politics. Political discussions, references, or mentions are not allowed. If you have questions, feel free to send me or one of our moderators a message. We'll be happy to help. https://"
Covid,https://www.medhelp.org/posts/COVID19/Fever-for-4-days-covid/show/3061310,Fever for 4 days covid??,"Sir/madam I am 42 yr old had chills rigours severe body pains and fever since 4 days with throat pain and increased urination, and my initial test showed wbc normal platelet normal monocytes 10 lymphocyte 20. Dengue serology enteric serology neg d dimer LFT normal urine normal sars covid Rtpcr neg. my sats vary between 94-97 and resp rate 16. No fever today but weakness. Do I need hrct chest for covid"
Covid,https://www.medhelp.org/posts/COVID19/What-is-the-latest-covid-variant-like-for-people/show/3078247,What is the latest covid variant like for people?,"I'm wondering about those who test positive for covid recently, what are you experiencing real world? We've had two bouts of the sick in the past three months that hit our whole house. The first was in July and brought to us from my darling husband who had traveled in Europe for work. I personally was the sickest of all. Fever, super sore throat, nausea, headache, congestion. Not gonna lie, it was brutal. We didn't think we had covid but I do kind of wonder after the fact. NOW, we are all sick again. I'm starting to feel a bit better but it's sore throat, cough, congestion and fatigue. The last illness was sick level 9 out of 10 for me and this is like level 4. Our home tests always say negative. Not confident in them and to test for covid here now is an ordeal. Last time my husband did get tested at an urgent care and was negative but not confident about that either. Anyway, I'm just curious as to what people are seeing or is my family the only one plagued by illness lately?"
Covid,https://www.medhelp.org/posts/COVID19/Leg-pain-anxiety-twitching/show/3070057,"Leg pain, anxiety, twitching","It all started with pain, numbness and tingling in my right ankle.  Then, my whole family came down with a ""virus"" around Christmas.  My whole body ached, but i got through it.  My right leg began having lots of muscle twitching and strange sensations.  It's been four long months and I am still having them and noticing some atrophy in the leg now as well!  I get occassional twitching in other leg and around my body, but mainly the right let and still have the weak ankle feeling.  I am trying to get in to see a neuro.  Does anyone have any thoughts on what this could be?"
Covid,https://www.medhelp.org/posts/COVID19/Post-Covid-Constipation/show/3076797,Post Covid Constipation?,"For the past month after a bout with Covid/Flu, my bowel movements consist of passing stools that come out in pieces. For years intermittently I might experience this on occasion, but this would go away in a matter of days on its own, or with some additional fiber into the diet. I noticed that immediately after Covid subsided I was constipated and didn't go for a few days -- then I started getting regular again, except this persistent breakage. At times it feels like it breaks as it passes (looks rather normal other than coming out in pieces); other times it just comes out in pieces with the pebble look. Haven't gone the laxative route yet but have tried some apple pectin with mixed results so far; one night I drank smooth move tea but that didn't do anything. Any thoughts on having these types of symptoms post covid? Figure this sounds like a bout of persistent constipation but the duration (a month now) is longer than I have experienced before. Any thoughts or similar experiences?"
Covid,https://www.medhelp.org/posts/COVID19/I-lost-my-smell-and-want-it-back-covid/show/3070084,"I lost my smell and want it back, covid!","I had covid over a year ago.  It was a nasty case of it and I had a second round of it a few months ago again.  Blah. I lost all smell and taste. It's since come back to some extent but isn't the same.  Things smell very weird, off, faint or not at all and lots of things taste really bad (like bug spray). So, I got something to try and wanted to know if anyone else has heard of this.  I listened to a radio program about it and it is retraining your smell. I purchased a smell training kit online.  Pretty cheap. But it has four scents and I'm supposed to expose myself to them for a few seconds twice a day. What exactly this will do, I have no idea.  ha.  I'm charting it.Lemon is very faint.  Rose is strange. Anyway, hoping this helps as it is being recommended by doctors for those who have long term loss of scent from covid 19"
Covid,https://www.medhelp.org/posts/COVID19/sudden-memory-loss/show/3068681,sudden memory loss,"My 73 year old father in law had his Pfizer vaccine in March.  He immediately lost short term memory and now has started to lose long term memory.  We have taken him for a neuropsychologist eval which revealed severe dementia of unknown origin.  All neuro image testing has been normal (CT scan, PET scan) All blood work has been normal.  He now presents like an Alzheimers patient with sexual inappropriateness but neurologist said he has the symptoms of an Alzheimers/dementia patient without having the actual disease.  I have tried researching about vaccine side effects but not finding any information that could help explain what might have happened to my father in law that was completely independent prior to the vaccine and now requires 24 hour caregivers. 1.  Any recommendations on possible further testing? 2. Have there been any reports of dementia from the vaccine? He has had testing for 9 months and his case has not been reported as of yet. 3.  Any place we could take him that is doing testing for patients that had neurological side effects after vaccine? 4. Any treatment options? Thank you for any help offered"
Covid,https://www.medhelp.org/posts/COVID19/Anyone-else-with-heart-effects-from-COVID-Unvaxed-older-female/show/3075848,Anyone else with heart effects from COVID? (Unvaxed older female),"I was not vaccinated and got hit hard by Covid. I am a 60 year old female. After nearly 3 years of super cautious behavior, I wonder if the new very contagious strain is what got me. At lunch I was fine and by dinner I had the worst headache of my life, couldn't eat, and temp reached 102 at 1 am, the next day going up to 102.7 Tested positive on rapid covid antigen test  I also felt like i had knife blades in my throat and my nose and throat were quite congested. I was nauseous and could not eat for a whole week. Urine output was minimal although i was drinking a fair amount of water. Temp fell and then rose again but not to as high a level. Remained feeling very ill and congested Noticed throughout my heart rate was elevated but i attributer that both to fever and dehydration. After a week i started eating but remained very congested. My pulse ox meter did not show any dip in oxygen saturation at fingertip. I was encouraged to go to ER for fluids but I did not go despite being close. I felt very sick. Its now been two and a half weeks since covid onset and I've noticed something odd about my heart. First i saw on pulse oximeter that not only had it remained higher than usual, but it would speed up then slow down then speed up then slow down. It was not a stable rhythm. I used my kardia monitor  and also payed for membership to get the advanced feature of a graph of the R-R interval. It was highly variable and Was able to determine that this was a a sinus arrhythmia. So not a fib or flutter but varying rhythm . Docs have been frustrating on this. If you look this up, you'll find  it is fine if you are a kid but if you are older and get it as an adult, it usually signifies heart disease  i do not know if mine is respiratory or non- respiratory sinus arrhythmia but either way  in older adult indicates an underlying problem. Very frustrating to have a doc instead say “normal variant” despite this and despite never having it before. Before covid i had Sjogrens Syndrome, dysautonomia, and a mast cell issue , so not in the best of health and knew i would get hit hard Currently , besides heart (also 25 beats higher than normal) , temp still a degree higher than usual, lots of sinus pressure, anosmia, intense rib pain apparently  from a few coughing fits, Headaches, sleeping alot, eating alot, and i Don't feel back to my usual self yet. I assume too soon for long covid Anyone else experience a heart change? And  still there 2.5 weeks past onset? It might be easy to miss this one if one weren't obsessively checking pulse ox meter. and noticed the odd jumping around was different than usual. Any  comments? Input would be helpful. Will i feel better? What about the body temp and headaches? Etc. Thanks for any help. I don't have enough stories to know  how typical or atypical my case was, especially from unvaccinated older people   Would be helpful to compare. Thanks"
Covid,https://www.medhelp.org/posts/COVID19/Omnicron-Coronavirus/show/3069153,Omnicron/Coronavirus,Why isn't Amylase used to suppress the carbohydrates in the Omnicron/Coronavirus? Thoughts?
