disease,postLink
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/What-is-the-latest-covid-variant-like-for-people/show/3078247
Covid,https://www.medhelp.org/posts/COVID19/Constant-Sickness/show/3076575
Covid,https://www.medhelp.org/posts/COVID19/Fever-for-4-days-covid/show/3061310
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Post-Covid-Constipation/show/3076797
Covid,https://www.medhelp.org/posts/COVID19/Anyone-else-with-heart-effects-from-COVID-Unvaxed-older-female/show/3075848
Covid,https://www.medhelp.org/posts/COVID19/Covid-19-missing-work-in-2023/show/3075686
Covid,https://www.medhelp.org/posts/COVID19/sudden-memory-loss/show/3068681
Covid,https://www.medhelp.org/posts/COVID19/I-lost-my-smell-and-want-it-back-covid/show/3070084
Covid,https://www.medhelp.org/posts/COVID19/Leg-pain-anxiety-twitching/show/3070057
Covid,https://www.medhelp.org/posts/COVID19/Have-I-used-up-all-my-vaccine-antibodies/show/3069995
Covid,https://www.medhelp.org/posts/COVID19/Corona-change-my-body/show/3061932
Covid,https://www.medhelp.org/posts/COVID19/Omicron-2-months-ago-still-so-fatigued-muscle-aches/show/3069456
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/after-infection-when-could-recovery/show/3078714
Covid,https://www.medhelp.org/posts/COVID19/Is-the-Covid-booster-free-this-time-around/show/3078389
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Long-COVID-Now-Looks-like-a-Neurological-Disease/show/3075656
Covid,https://www.medhelp.org/posts/COVID19/Post-Covid-Symptoms/show/3075389
Covid,https://www.medhelp.org/posts/COVID19/Can-I-have-COVID-symptoms-even-if-my-results-are-negative/show/3075238
Covid,https://www.medhelp.org/posts/COVID19/Need-help-whether-to-do-a-Tracheotomy-for-an-ICU-Covid-19-patient/show/3074882
Covid,https://www.medhelp.org/posts/COVID19/Does-it-matter-where-you-get-the-latest-covid-vaccine-booster-shot/show/3078254
Covid,https://www.medhelp.org/posts/COVID19/A-question-about-symptoms-of-Covid-and-or-the-vaccine/show/3078275
Covid,https://www.medhelp.org/posts/COVID19/Who-is-getting-the-latest-booster-when-its-available/show/3078248
Covid,https://www.medhelp.org/posts/COVID19/New-coronovirus-strain-in-the-US/show/3077921
Covid,https://www.medhelp.org/posts/COVID19/anti-vax-doctor-in-kansas-city/show/3074774
Covid,https://www.medhelp.org/posts/COVID19/Is-Covid-a-death-sentence/show/3074581
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Can-Liquid-Breathing-help/show/3055036
Covid,https://www.medhelp.org/posts/COVID19/Long-Covid-anxiety-and-nervous-system-issues/show/3072688
Covid,https://www.medhelp.org/posts/COVID19/post-covid-symptoms/show/3071544
Covid,https://www.medhelp.org/posts/COVID19/Potential-long-Covid-treatment/show/3072316
Covid,https://www.medhelp.org/posts/COVID19/After-covid-loss-of-taste-and-smell-in-cold/show/3072538
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/After-Covid-19-I-Feel-Like-a-Depressed-Brain/show/3074281
Covid,https://www.medhelp.org/posts/COVID19/For-people-who-suffer-from-long-covid-how-does-the-recovery-process-go/show/3073400
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Covid-19-cough/show/3071884
Covid,https://www.medhelp.org/posts/COVID19/Can-you-get-Covid-by-talking-to-a-Covid-positive-person-without-a-mask/show/3071318
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/help-with-long-covid/show/3072284
Covid,https://www.medhelp.org/posts/COVID19/Im22mworried-because-im-getting-more-often-sick-this-year-than-usually/show/3072353
Covid,https://www.medhelp.org/posts/COVID19/Early-stage-of-COVID-19/show/3073991
Covid,https://www.medhelp.org/posts/COVID19/Covid-experience-and-anxiety/show/3073887
Covid,https://www.medhelp.org/posts/COVID19/feeling-fatigue-throat-sore-and-fever-for-3-weeks/show/3072412
Covid,https://www.medhelp.org/posts/COVID19/Is-it-possible-to-get-covid-twice-within-3-weeks/show/3071534
Covid,https://www.medhelp.org/posts/COVID19/Long-covid-how-are-you-all-doing/show/3071528
Covid,https://www.medhelp.org/posts/COVID19/How-do-I-get-tested-for-COVID-at-medhelp/show/3071080
Covid,https://www.medhelp.org/posts/COVID19/Chest-Xray/show/3070580
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Post-Covid-Symptoms-How-long-do-they-last/show/3069219
Covid,https://www.medhelp.org/posts/COVID19/Will-we-all-get-Omicron/show/3069248
Covid,https://www.medhelp.org/posts/COVID19/Smell-and-covid/show/3072280
Covid,https://www.medhelp.org/posts/COVID19/Digestive-issues-diarrhea-due-to-Coronavirus/show/3054127
Covid,https://www.medhelp.org/posts/COVID19/Constant-tickly-throat-and-want-to-clear-my-throat-and-cant-sleep/show/3072116
Covid,https://www.medhelp.org/posts/COVID19/Proper-mask-handling/show/3071938
Covid,https://www.medhelp.org/posts/COVID19/Long-covid-question/show/3073559
Covid,https://www.medhelp.org/posts/COVID19/Just-having-cold-is-that-symtom-of-corona-covid-19/show/3053995
Covid,https://www.medhelp.org/posts/COVID19/Why-shortness-of-breath/show/3069177
Covid,https://www.medhelp.org/posts/COVID19/COVID-linked-weight-loss-Apologies-if-the-post-is-long/show/3071833
Covid,https://www.medhelp.org/posts/COVID19/Omnicron-Coronavirus/show/3069153
Covid,https://www.medhelp.org/posts/COVID19/Tested-positive-please-guide-someone/show/3068798
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Does-vaccine-cause-ED/show/3067655
Covid,https://www.medhelp.org/posts/COVID19/Is-it-possible-for-covid-to-survive-in-our-yard-in-the-sunlight/show/3067315
Covid,https://www.medhelp.org/posts/COVID19/Reaction-to-first-Pfizer-vaccine/show/3067230
Covid,https://www.medhelp.org/posts/COVID19/Do-feet-need-to-be-washed-sanitized-the-way-hands-do/show/3064702
Covid,https://www.medhelp.org/posts/COVID19/Pregnant-and-scared-of-the-COVID-vaccine/show/3066798
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Post-Covid-Breathing-issues/show/3069015
Covid,https://www.medhelp.org/posts/COVID19/Covid-19-Boosters-Qualifying-Mixing/show/3067077
Covid,https://www.medhelp.org/posts/COVID19/Hypothermia-post-COVID-Anyone-else-has-the-same-symptoms/show/3068962
Covid,https://www.medhelp.org/posts/COVID19/Negative-PCR-next-day-positive-antigen/show/3068839
Covid,https://www.medhelp.org/posts/COVID19/Not-sure-if-Covid/show/3068318
Covid,https://www.medhelp.org/posts/COVID19/I-feel-overly-anxious/show/3068579
Covid,https://www.medhelp.org/posts/COVID19/Anyone-else-develop-sensitive-skin-with-covid/show/3068775
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Having-Covid-and-Anxiety/show/3068664
Covid,https://www.medhelp.org/posts/COVID19/Lots-of-small-bumps-on-legs-and-arms/show/3068713
Covid,https://www.medhelp.org/posts/COVID19/Covid-day-6/show/3068696
Covid,https://www.medhelp.org/posts/COVID19/New-Variant-woes/show/3068138
Covid,https://www.medhelp.org/posts/COVID19/Reaction-to-Moderna-Vaccine-1st-dose/show/3068445
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Side-effects-after-astrazeneca-vaccine/show/3068377
Covid,https://www.medhelp.org/posts/COVID19/Reminder-MedHelp-an-evidence-based-site/show/3068355
Covid,https://www.medhelp.org/posts/COVID19/Ventilators/show/3055192
Covid,https://www.medhelp.org/posts/COVID19/COVID-vaccine/show/3068476
Covid,https://www.medhelp.org/posts/COVID19/Should-I-take-my-pfizer-covid-19-vaccine-after-a-single-dexamethasone-shot/show/3068370
Covid,https://www.medhelp.org/posts/COVID19/Boostered-What-did-you-get-Did-you-mix-How-were-the-side-effects/show/3068207
Covid,https://www.medhelp.org/posts/COVID19/COVID-Testing-Advice/show/3067941
Covid,https://www.medhelp.org/posts/COVID19/Your-nostrils/show/3067848
Covid,https://www.medhelp.org/posts/COVID19/Rash/show/3067764
Covid,https://www.medhelp.org/posts/COVID19/-Depression-and-Anxiety-double-risk-of-death-from-covid/show/3067718
Covid,https://www.medhelp.org/posts/COVID19/Covid-vaccine-neurological-adverse-reactions/show/3065288
Covid,https://www.medhelp.org/posts/COVID19/Booster-for-Covid-Vaccine/show/3068173
Covid,https://www.medhelp.org/posts/COVID19/Future-of-not-being-afraid-of-covid/show/3068329
Covid,https://www.medhelp.org/posts/COVID19/How-risky-is-Omicron-variant/show/3068296
