disease,postLink,postHeading,postContent
Coronavirus,https://forums.livescience.com/threads/only-one-lab-in-china-can-safely-handle-the-new-coronavirus.559/,Only one lab in China can safely handle the new coronavirus,"As an escalating viral outbreak unfolds in China, only one lab in the country meets the required biosafety standards needed to study the new disease. Wow, that's an incredibly Pollyanna view  of the situation. The only BSL-4 lab built in China, which is already facing accusations of facilitating bio-weapons research is ""accidentally"" at the same location of the novel coronavirus release/appearance? China needs to be put on a bio-weapons watch list and sanctioned.  I don't know how this simple math is escaping a majority of the press releases related to coronavirus. They knew this from the beginning, but the optics are rather bad. Lol. Do you need more than one? The USA from a G00gle search has thirteen but would all of them be utilised for studying the new virus? Should China look to increase their BSL-4 capacity I am sure the world would react in fear of weaponising etc.. It is quite a while since the article and comment, reactivated by Scruffins, but it looks like CHina have faired far better than most countries with their one facility, unless the aim of the post is of a differing nature. Consider what would happen if a human contagious entity were brought back to Earth in an extraterrestrial sample. The availability of BSL-4 capacity and research ability might be paramount to our species' survival.  Only fools or the mentally ill would deliberately develop an Earth virus into a bioweapon which  could eventually kill its creators. True statement but one does not cancel the other We have lots of mad people on Earth so I would not be surprised if this one was created by a mad person who knew all the risks. Sadly and frighteningly, additional information and data revealed in the past two years since the covid-19 pandemic appeared, indicates that the global pharmaceutical industry seems to have current ""Gain of Function"" on-going programs at sundry labs around the world.  Michael Crichton's riveting book ""The Andromeda Strain"" now has a prescience beyond ""space exploration"" science fiction. I hope things will recover soon"
Coronavirus,https://forums.livescience.com/threads/i-got-free-gatorade-from-the-government.5829/,I got free gatorade from the government!,"After I got vaccinated, they gave me free gatorade. What flavor of gatorade? Orange thats the best flavor I  was fully vaccinated in March, '21. I got a tax increase in July, '21.  I would have preferred the gatorade."
Coronavirus,https://forums.livescience.com/threads/notice-live-science-forums-are-not-medical-advice-or-counsel.1308/,NOTICE: Live Science Forums are Not Medical Advice or Counsel,"Our forums are welcoming venues for discussion and a useful resource for learning about the science of health and epidemiology, but it is critical to remember that forum posts are not reviewed by medical professionals.  Do not rely on opinions or advice given by users here regarding any healthcare-related matters, and instead consult with a licensed medical professional. Always, always speak to your doctor before taking medical or health-related actions, and in any case of emergency contact the appropriate medical assistance services. The contents of these forums are for informational purposes only, and expressly does not constitute the providing of medical advice. The content of the forums is provided on an as-is basis and use of the information is at your own risk.  Forum posts and threads are not intended to be a substitute for professional medical diagnosis, treatment, or counsel. To the maximum extent permitted by law, Future disclaims all liability whatsoever in relation to the information provided in these forums."
Coronavirus,https://forums.livescience.com/threads/covid-diabetes.6682/,Covid diabetes,"What is the procedure for covid diabetes? Medics here in the UK have no idea what to do about it The usual support groups are not relevant where the person has no weight or diet issues Is every other country at a loss with this? You do not believe the UK medics have any idea, so you are seeking advise from a forum filled with conspiracy theorists? I took the two main words, ""Covid"" and ""Diabetes"" from your post and found this with a 5s search-"
Coronavirus,https://forums.livescience.com/threads/how-can-i-protect-myself-from-the-coronavirus.1116/,How Can I Protect Myself from the Coronavirus?,"The coronavirus outbreak has many people worried, but instead of letting yourself get caught up in the fear, it’s more productive to be informed. As with any other illness, you can protect yourself if you follow some basic steps. Here’s how to keep yourself safe from the coronavirus: Every public restroom has this sign up for a reason. The point of washing your hands is to kill germs that you pick up from touching everyday surfaces. Viruses can live for a surprising amount of time on things like countertops, door handles and the like, but they can also be killed with soap and disinfectants containing alcohol. Whether you’re in a public place or the comfort of your own home, regularly wash your hands with soap and warm water. The best way to avoid getting sick is to avoid those who already are. Simple, right? Limiting your exposure means you’ll be less likely to be infected, so stay away from crowded public places. When you have to leave the house, keep at least three feet between you and others when possible, and cover your nose and mouth if you suspect you’re near someone who’s sick. These are the easiest places for a virus to enter your body, so don’t give it a free ride. After you’ve been in a public place, don’t touch your face unless you’ve washed your hands thoroughly. Even then, it’s best to avoid contact. Keeping in mind the virus is active on surfaces for 9 days and mortality rate is 3.4% (so we've been told) compared to .095 for type A and B influenza (2019-2020) and the .13 micron virus piggybacks on moisture/vapor particles over 2.5 microns: Low profile out of house/shopping: lime green or desert camo Neoprene RV mask with a supply of N100/N99 filters (although N95/P2.5 will do), full seal swim goggles/glasses (the ones that look like normal glasses/sunglasses, flesh colored latex gloves. In house: hand sanitizer for returning home and handling packages and mail deliveries.  Bleach cleaner for floors/countertops especially where packages/mail groceries have been brought inside.  Dispose of all grocery bags.  No-scent Lysol spray for incoming groceries.  Avoid fresh produce which cannot be easily sterilized (like lettuce). hi i m reza from Iran corona is very good because we rest with family in home There is no protection only acceptance that your symptoms are asymptomatic or mildy symptomatic to recovery. Wherever they are wet open markets the potential will be there, in places  the demand for bush meat has brought level 4 contagions of various types of hemorrhagic fevers in Africa & level 3 contagion China's Corona viruses. - - Wear a mask when around other people (but we have a shortage of masks!) - Wash your hands often, and don't touch your face - Take care of your general health: nutrition, sleep, exercise, stress management, etc. - Vitamin D3, Vitamin C, fish oil, probiotics, ginger root tea That is pretty right. We are powerless in this situation. What can we do? Stay home and wash hands.. thats a good question.. first thing we know symptoms, precuations and treatments 1. Self Care wash your hands drink plenty of water keep clean your body wear mask (if you are outside) wear gloves (if you are outside) how can we fight against covid-19 thats to easy because we know that we all have to busy life in normal days and we can't give so much time to our family and the best thing now a days environment is going to clean we will fight covid-19 in simple ways we should stay home dnt go outside until necessary if we have to go outside then we should go with our care lockdown is a best solution now because we dont have vaccine nd medicine so stay home and stay safe: In addition to what the OP mentioned you've got to wear a mask in public.  Any mask is better than none.  Looks like the west is finally realizing that the east was right all along about the positive effects of the usage of masks. Face masks are costly and currently hard to find but they are out there if you look hard enough.  Just be careful with price gouging.  Stay safe out there! I think most infections occur in closed spaces like grocery stores, airports,  fitness clubs etc.. The virus is in the air and gets in through your eyes or nose. I don't think masks are fully effective because your eyes are exposed and masks do not completely filter the virus. My logic is based on personal experience with other viruses. I am sensitive like a canary in a coal mine with respect to viruses. I usually pick up a virus during every airplane trip.  It probably explains why India has only 1% of the infection rate in the USA. There are very few grocery and department stores. Most shops are open-air stalls so there is less chance of picking up the virus from the air. So avoid supermarkets. Buy online and carefully wipe off the packages with disinfectant. I am a 68 year old retired dentist living in a rural area of the State of Washington. Maybe my experiences as a dentist might be of help to some. Let me start by saying though that I am as perplexed as some of the experts are as to how rapidly this virus has spread, at least in some situations. Dentists examine people's mouths. We do it with a mirror in one hand and an explorer in the other. As we examine a patients open mouth, we are about a foot away or even less, sometimes asking questions, with the patient answering. I have never worn a mask while examining a patient and I honestly can say that in 30 years I have never caught anything doing exams that way. If a patient had an obvious head cold, I would be careful not to breath much, but still even then I would usually not wear a mask. Also, I tend to catch head colds about once a year, but never from doing a patient exam. I never seem to get the flu. I do not know why. Years ago, while drilling inside of a patient's mouth, I used to never wear a mask either, but during the last 15 years or so I would wear a shield to protect against splatter from the drill etc. Prior to not using a shield, I would occasionally pick something up from working inside of a patient's mouth, but at the time the only thing that dentists were really concerned about was acquiring Hepatitis B, but you could only get the disease with direct blood to blood contact, not from a patient cough. Later Hepatitis C and Aids came along. But they were also virtually impossible to catch from saliva.  Anyway, maybe this will be a help to some of you. It seems to me that you will not get the disease if you have incidental close contact with an infected person unless they cough in your direction. Being in an enclosed area with an infected person over a period of time might be a different story. Although simple talking from an infected person could theoretically give you the disease, in my experience the chances are extremely unlikely. Catching the disease outdoors is virtually impossible in my opinion, especially if there is any kind of a breeze, which probably makes the beach one of the safest places of all, even without much social distancing. I only try to reduce the odds of getting the disease down to something acceptable for me, not entirely eliminating the possibility. I do not wear a mask in public, but I certainly do wash my hands a lot more. I think you may have higher than normal immunity or acquired immunity due to your profession. I have just the opposite experience. I am like a canary in a coal mine when it comes to catching a cold or flu from a person several feet away. I catch them at parties, restaurants, etc. even if I keep a considerable distance from people.  After an airplane flight, I usually come down with a cold or flu. Finally, I found a herbal immunity booster lozenge that claimed it can stop that and many reviews confirmed it. So far it looks like it is working 100% of the time. It seems to prevent the infection if I take it before the flight and if I catch one someplace it gets rid of it in no time. While I have not seen any medical recommendation for the use of vitamin D to help prevent or minimize the effects of COVID 19, there is a clear correlation between reduced levels of vitamin D and increased cases of illness from the flu. Getting more sunshine on your skin or taking vitamin D supplements could reduce the number or severity of COVID 19 cases. People spend too much time inside."
Coronavirus,https://forums.livescience.com/threads/long-covid.6212/,Long Covid.,"Found this article with links to further information of interest and wanted to share with you. ' The infection may also alter how people's organs function. This is most obvious with the lungs if they become scarred - long-term problems have been seen , which are both types of coronavirus. But Covid may also alter people's metabolism. There have been cases of people struggling to control their blood sugar levels after , and Sars led to changes in the way the body processed fats . There are early signs of , but these are still being investigated. And Covid-19 also does strange things to the blood, including abnormal clotting, and damaging the network of tubes that carry blood around the body.' There are two options to minimize covid-19 and variants health risks. Get vaccinated and follow masking and distancing protocols, (even if fully vaccinated).  No one really knows when this nightmare will end and how. True, but unfortunately the content of the link refers to people that actually are suffering having caught COVID19, so vaccination and distancing is not an option for curing the long covid on the knowledge we have. Very concerning the after affects of a disease that people caught over 12 months ago in many cases. The article has excellent information on the long term covid-19 effects.  Thanks.  I agree that the long term effects of the covid-19 virus on some people can range from  debilitating to devastating.  Such appears to be based upon genes and/or pre-existing conditions.  To use a gambling term ""it's a crap shoot"" if one gets covid-19, (or similar diseases like Lyme  disease in the U.S. which is a personal on-going experience).  The only ""protection"" from covid-19's possible multiple effects  seems to be avoidance of exposure and break through via vaccination and/or isolation/masking.   Worrisome indeed. I wished I was able to locate the medical journal I read yesterday which covered numerous [under peer review] increases for blood clotting as well as other conditions... The following link gives a summary including 'Six months later, those who'd had COVID-19 were found to be at higher risk of new onset heart disease, diabetes, mental health disorders including anxiety and depression, substance use disorders, kidney disease ' although the research is in its early stages and as stated needs to completely rule out lifestyle changes rather than COVID direct. Are you [or anyone else] aware of a disease as easily transmissable that has future health issues as per these links? I reiterate I am not an expert and pretty much repeating what I have read whilst choosing the more convincing position if two cases are opposed to each other. MERS and SARS do have future implications, but these have typically been contained and not gone on to create case numbers for eligible studies. Meningitis and encephalitis share the cognitive problems and can persist after the disease is gone if the body is not ready to release fluid buildup.  Polio lasts a lifetime and of course hiv & other immunodeficient pathogens. Herpes keratitis can deform the eye with scar tissue and wreck night vision since the scar site has a prismatic effect on single-point light sources, flooding the eye. The increased risk of long term effects may stem from lung damage and an immediate change to sedentary behavior.  I'm right at the one-year mark and still can't run. As a level set: The Great Courses offers a course ""An Introduction to Infectious Diseases"";  it may be available through one's local library or it can be purchased.  Now consider that the covid-19 pandemic has reinforced the need to have biological and viral containment systems as a critical part of the world's space programs.  Today many people have lasting effects from what is considered the current mix of human diseases.  Perhaps the money earmarked for a new aircraft carrier might be better spent on medical research, disease effects remediation and those containment systems. - Covid is created artificially. A piece of the HIV chain is embedded in it. The British created it, and tried to use it against Russia (the Skripal case). The Skripals passed out 5 days after the meeting with Bashirov and Petrov. All the dances of the British with the roles of "" BEGINNER!!!"" they look idiotic, but everything falls into place if we assume that it was covid. Petrov and Basharov were quarantined together with all the passengers after their arrival. - The Americans used Covid viruses against China, who requested virus samples for themselves when they dealt with the Skripals. It's strange that the order for use seems to have been given by Tromp. Like a smart man. Although they could be secretly used by shitocrats. - According to the results of recent studies, those who have had covid, including after vaccination or after vaccination, even with asymptomatic manifestations, scars are formed not only in the lungs, but also in the cerebral cortex. Which leads to the stupefaction of people. Congratulations! After 2-3 generations, all people will be equal in intelligence with monkeys. - I wonder if monkeys are sick with coronavirus? I think many people in the world if they had the opportunity to would like to take that heinous covid structure  by its heinoius nasty little horns  & snap em permantly off then stamp on the ""ball"" theyre sticking out of & flatten it until its finally dead for good -i know i would At the time of writing this is 100% incorrect with no vaccination available to assist long Covid [the topic for this discussion]. The more research being undertaken, the more side-effects are being found even if people initially suffered only mild symptoms. Even a continued vaccination program is not going to prevent further cases and to date I have not found how effective current vaccines are at preventing long covid - All well and good serious illness is significantly reduced, but it is too early to know about long-term effects of covid on vaccinated, Hi I wasnt questioning anything said -just because someone has been vaccinated twice doesnt mean you wont get it -it means if  you do get it you wont get it as bad All I said was it d  be just great if people had  the opportunity  -to be able to pick up that covid structure by its nasty little horns & snap them off permanently & when its devoid of them stamp on the ball that they stick out of until it dies for good No problem although I do not believe there is accepted evidence as yet about long-covid being less serious in double vaccinated people as opposed to non-vaccinated. One thing I am a million percent sure about - -if the world had an opportunity to take hold of all the covid variants in their hands tjey would wanna SNAP OFF THOSE HORNS & STAMP ON THE REST OF IT UNTIL IT DIES FOR GOOD!!! Its those horns on the covid structure that start off the infection - One other thing ive seen in the UK newspapers that the chinese people & their scientists  should be held to serious account  for letting covid escape their labs in Wuhan  only for it to come  all over other countries of the world to kill off innocent people Quite frankly I agree wholeheartedly -& had there been a petition to make them be held to account I for one wouldnt hesitiate to sign it Theyve caused a real serious worldwide pandemic -they started it off it started in China How dare China do this to the world - while the rest of the world suffer & die at the mercy of covid - the chinese are now a covid free country Please would you keep this thread discussion to Long Covid."
Coronavirus,https://forums.livescience.com/threads/members-of-the-u-s-military-will-be-required-to-get-the-covid-19-vaccine.6712/,Members of the U.S. military will be required to get the COVID-19 vaccine,I thought they already put this in place but I guess not.
Coronavirus,https://forums.livescience.com/threads/n95-electret-charge-mask-restoration.1587/,N95 electret charge mask restoration,"I've recently read about that a key property of medical mask filters is the “electret” properties of polypropylene. Apparently polypropylene sheets are charged via corona discharge treatment before manufacture into masks, filters etc. For most daily use the sheets that comprise the masks retain their charge due to their electret properties but lose this charge when being washed. This is especially the case when alcohol is being used as a disinfectant which is an intuitive go to disinfectant in medical environments. According to one study I read, this lose of static charge can lead up to 30% reduction in particle capture of the masks for 0.3 micron particles. For smaller particles in the range 0.1 microns (which is the size range of the Corona virus) and smaller the drop was less but still substantial. The interesting point is that these masks haven't mechanically degraded but rather simply have lost there endowed charge and would presumably be ""restored"" if ""recharged"". As I mentioned apparently the charge is given to the material in manufacture by a corona discharge treatment. So this is my question since I am very much a layperson on materiel science, is it possible to simply restore charge to masks , filters etc in a simple manner? Various scenarios and solutions have come to my mind from simply rubbing the inner lining with relevant material like rabbit fur to impart charge. Another is using the negative output of  a Van de Graaff style generator to expose the mask to a negative static field. Another is using a modified negative ion generator (used in air purification) expose the mask to negative charged static charges. I think this question is important in the extension of n95 and similar filters in hospitals in light of drastically chronic shortage faced in the Corona pandemic. great question and topic, sorry I can't be of help but I hope you get an educated response from someone I just got some rabbit fir/ slippers I am going to rub them on my mask I hope it recharges the mask thanks for the tip The CDC and the WHO both said not to bother wearing masks before they changed their minds.  This is a ffact not conspiracy theory The polypropylene must be in molten state during the corona charging process.   The nonwoven polypropylene fibers are spun like cotton candy through a corona discharge field."
Coronavirus,https://forums.livescience.com/threads/car-to-car-transmission.3664/,Car to Car Transmission.,"I normally have the air circualating option when driving but on a recent journey it slipped my mind. In slow moving traffic (stop/ start to 15mph) the driver in front of me had the window down and vaping to the outside. The breeze caught the plume and set to my car which then filled my car with an aroma. I didnt think too much of it, set the air to recirculate and carried on. I am now wondering, if someone with Covid19 breathed outside of their car in a 'puff', what is the risk to drivers behind this vehicle that take in the air and hold in a confined space? Thank you so much for the information keep suggesting us such informative post i will recommend this post to others In addition to the above I caught a Q&A session in which an expert advised that albeit small, if there is a cloud of vapour, it may contain active virus. The advice was for vapor users to respect people and not blow plumes unnecessarily and for passer-bys to avoid plumes where possible. Have you ever lived in a cold region?  Every breath plumes.  Even the animals. Everybody, should see a cow fart on a cold morning. It would help people recognize manure later in life. There is a difference between a designated area of smokers whom blow and a person breathing - This is well covered in many journals which you may read. Feel free to challenge these scientific papers if you have the belief in your position. I have presented a link to a paper and part-quoted an expert (I may be able to get their name for you) on the subject, you will need to take your issues up with them."
Coronavirus,https://forums.livescience.com/threads/virus-evolution.5982/,virus evolution?,"Dear all, This may be interesting on not  -- 1, Over time as the host evolves does the virus change also? If, there is any truth in the above could genetic changes in the host trigger changes in the virus 'lodger'. 2,  Organ transplants are life giving and amazing . However if - viruses contained in some of the donors cells are introduced into the transplant recipients bodies might they not mutate more rapidly? Then, due to having to adapt to new tissue proteins  evolve differently than they would have done had they not been transplanted. Importantly - I feel - the recipients natural immunosuppressants are (due to anti-rejection protocols ) attenuated so the virus has a greater scope for change. Planetary idea  - Dust which is ubiquitous in interstellar regions might carry viruses to other parts of space . Is it possible that there is a virus 'precourser' even on asteroids buried deep in rocky asteroids deep enough to be protected from radiation and powerful magnetic fields that could carry them out into space? Speculation? yes but thoughts nevertheless. ?Very best wishes, Marj. Very thought provoking questions.  I'll venture a comment  how I think Evolution works with hosts and viruses.  If a host has a defense against a virus invasion, the virus fails to reproduce and doesn't mutate.  If the virus infects a host and rapidly kills that host, that virus' reproduction is limited and eventually stops due to a lack of hosts.  Viruses that infect a host mutate via reproduction and may develop to be able to surmount other host's defenses and thus reproduce and mutate further.  A vaccine boosts/jump starts a host's defenses and limits a virus' reproduction and mutation.  I'm using the Polio and Small Pox  diseases/vaccines as examples.  As for virus ""precursors""  I have no knowledge. What do you mean by 'host evolves' as you come across as believing X-Men is real. What you are describing is Panspermia... I have not read this link, but assume it gives some relevant info- There’s still a debate going on as to whether viruses are even It’s just a protein core that does nothing at all, can’t even reproduce itself, unless a living cell runs into it. Viruses scare me. A host can evolve a defense, (antibodies, poisons, sharp spines), against a virus, bacterial, or other species.  Right now there is a plethora of information on Sars-Cov-2 and it's variants on the internet news services.   So if one wants a scare along with the morning cup(s) of coffee, I suggest reading these daily updates.  Also, the standard general information biology text book would provide clarification on Evolution and genetic mutation. I am currently picturing humans dressed as hedgehogs to ward off COVID19 now Actually since the covid-19 pandemic began sundry female personalities have made it routine events to appear on the internet with fewer and fewer amounts of clothing.  Given that these bodacious  women started with skimpy bikinis, their quaint, but interesting proclivity has provided an early morning ""eye opener"" as well as relief from the dreary news about covid-19. I can only wish these curvaceous women well with their Evolutionary experiment for covid-19 protection. The continuous mutation of the CCP virus, with multiple variants circulating around the world, could be described as the “next pandemic,” a top Taiwanese health official has warned. Wu Chung-hsiun, President of Taiwan’s Development Center for Biotechnology (DCB) and Director of the Biotechnology and Pharmaceutical Industries Promotion Office of Taiwan’s Ministry of Economic Affairs (MOEA told The Epoch Times he thought it was too early to predict the end of the COVID-19 pandemic “because this [virus]…keeps mutating and is still infecting people around the world.” It is also likely we will get immunity Antibody studies almost certainly underestimate natural immunity. Antibody testing doesn’t capture antigen-specific T-cells, which develop “memory” once they are activated by the virus. Survivors of the 1918 Spanish flu were found in 2008—90 years later—to have memory cells still able to produce neutralizing antibodies. Researchers at Sweden’s found that the percentage of people mounting a T-cell response after mild or asymptomatic Covid-19 infection consistently exceeded the percentage with detectable antibodies. T-cell immunity was even present in people who were exposed to infected family members but never developed symptoms. in September pointed out that the medical community may be under-appreciating the prevalence of immunity from activated T-cells. Covid-19 deaths in the U.S. would also suggest much broader immunity than recognized. About 1 in 600 Americans has died of Covid-19, which translates to a population fatality rate of about 0.15%. The Covid-19 infection fatality rate is about 0.23%. These numbers indicate that roughly two-thirds of the U.S. population has had the infection. In my own conversations with medical experts, I have noticed that they too often dismiss natural immunity, arguing that we don’t have data. The data certainly doesn’t fit the classic randomized-controlled-trial model of the old-guard medical establishment. There’s no control group. But the observational data is compelling. I have argued for months that we could save more American lives if those with prior Covid-19 infection forgo vaccines until all vulnerable seniors get their first dose. Several studies demonstrate that natural immunity should protect those who had Covid-19 until more vaccines are available. Half my friends in the medical community told me: Good idea. The other half said there isn’t enough data on natural immunity, despite the fact that reinfections have occurred in —and when they do occur, the cases are mild. In a modern democratic country I would very much doubt a population would accept this idea with the organisation to accurately roll out being impossible. In the USA, all it would take is one false negative preventing a vaccine and that person;s subsequent death to have a disaster of a lawsuit. You would also create a situation where people would resist random tests for fear of losing the possibility of a vaccine. I'm going to speculate that every country at the top of that list is underreporting. You don't get there by having good government practices. Viral evolution refers to the heritable genetic changes that a virus accumulates during its life time, which can arise from adaptations in response to environmental changes or the immune response of the host. Because of their short generation times and large population sizes, viruses can evolve rapidly. Thank you Marj x"
