disease,postLink,postHeading,postContent
Cystoscopy,https://patient.info/forums/discuss/ureteroscopy-disaster-794477,Ureteroscopy  disaster ,"Had some year, woke up around 2am last Nov in excruciating pain in my right side, thought this is me gone, ended up with a lovely 6mm kidney stone, agreed to a ureteroscopy, they tried and failed because my ureter was too narrow, inserted a stent and told me to come back in a month, peeing blood for 6 weeks was fun, eventually had it done and they got the stone, Finally i could get my life back, NOPE not quite 1 year on started having the pains again, convinced obviously i had another stone, NOPE I'm waiting on an advanced CT with dye to see if i've  got a stricture/narrowing of my Ureter (scar tissue) caused from my OP  which is causing all my pain,  a long shot but has anyone else had this nightmare on Elm street ? anything positive come out of it ? anyone 0 likes, 0 replies "
Cystoscopy,https://patient.info/forums/discuss/cystoscopy-and-urethral-dilation-33282,cystoscopy and urethral dilation,"help !!! i have recently been for a cystoscopy after having persistant uti's .I was told i had a very narrow urethra and was advised to go for a urethral dilation under GA .This is booked for Dec 8th but I have been told horror stories of this not working and I would eventually lose bladder control and would be self catheterising eventually!! Does anyone have any information or experience and if they had it done did it work? I am going out my head with worry and my own GP hasn't been much help by stating it is my decision.I have had uti's and blood in my urine for 19 years. 2 likes, 55 replies "
Cystoscopy,https://patient.info/forums/discuss/terrified-of-cystocopy-737230,Terrified of cystocopy,"I've got to have a cystoscopy next month. I'm absolutely terrified. It sounds like sheer hell.  But perhaps even worse than the excruciating pain is the psychological torture of it all. I was hoping to be sedated, but they refused. My initial appointment was so humiliating I couldn't even talk to my therapist about it. How do I survive the total humiliation of this? I fear I will never recover from the psychological trauma?  To make it worse, I don't have access to my therapist any more. 0 likes, 16 replies "
Cystoscopy,https://patient.info/forums/discuss/legitimate-cystoscopy-fears-and-pain-674564,Legitimate Cystoscopy Fears and Pain,"Many patients both female and male have legimate reasons adressing fears when it comes to a variety of invasive medical proceedures. Such fears are not easily addressed in a mdical setting in the fast pace of the hospital arena. You never truly know how Doctors or Nurses are going to respect or consider the reasons for your fears. I believe one of the primary faults of medical professions is respecting ones right to privacy. Not all medical professionals are guilty of this but a lot of them are. And I'm not the only patient who sees this.  In my experience being a heterosexual man who was brutally tortured and gang-raped at gunpoint in the past, its very difficult addressing concerns about fear when invasive medical proceedures arise. Embarrasment, rejection, bias judgment amongst an assortment of other weary issues. I briefly addresed this to a Urologist and female nurse in my hospital room. Assuring me there was nothing to worry about nonchalantly. I went for a scheduled cystoscopy having stayed in hospital for a month from illness of having high fever with a kidney and bladder infection. Upon being placed on a typical hospital stainless steel examination table; the cystoscopy began with the Urologist injesting lidocaine jelly down into my urethra. He didn't wait for the lidocaine to take effect and immediately introduced a long cystoscopy tube. The burning pain was incredible and later subsided as I groaned in pain while he moved the cystoscope around inside my bladder. I don't know what type of cystoscope he used. I was p****d off at him afer and let him know under no uncertain terms. I told him he was a f...ing idiot. He did find four polyps inside my bladder and a blocked kidney ureter. I'm awaiting surgery. I hear so many patients particularly male who claim they never experienced pain during cystoscopy exams. Your the dang lucky ones. 0 likes, 9 replies "
Cystoscopy,https://patient.info/forums/discuss/cystoscopy-745336,Cystoscopy,"hi i had my cystoscopy 26th august 2020 all i can say ladies please do not worry about the procedure . i couldnt sleep or eat and got really bad anxeity at lease a week before i know i was going for the cystoscopy.. please ladies do not worry i felt nothing from start to finish it took about 5 mins it was no pain no discomfort i would lose no sleep or nothing over it .. if you have any question please dont hesitate . michelle xx 0 likes, 0 replies "
Cystoscopy,https://patient.info/forums/discuss/blood-after-urinating-and-cystoscopy-please-advise-747173,Blood after urinating and Cystoscopy. Please advise,"Hi everyone, I am seeking an advice and i would really appreciate sharing your experience or if you have any information. I am 46 year old male taxi driver, sometimes I need to urinate when I am stuck in traffic in the town centre and there is no parking or toilet to go to. last week I needed the toilet but I was in a middle of traffic jam for more than an hour and was unable to go out of my car. so I tried to empty my bladder in a bottle while I was sitting, taking out half of my penis of the trouser with a little pressure from the trouser on my penis, I felt some pain while urinating as the position was not comfortable at all. when I got home after two hours, I entered the toilet and felt burn sensation while urinating and blood came out after I finished, that has happened two times on that day. blood disappeared after that and everything was ok. I called my gp just to check if thats normal. it was Friday evening so Dr prescribed antibiotic and asked me to do urine test on Monday morning. urine test came clear so gp referred me to hospital and Dr said because there was blood and no infection they need to check out the reason. I did   and CT scan, everything is ok, so they booked an appointment to do a cystoscopy! I started to worry now, I thought that everything  is OK since the blood stopped and I only had blood after urinating in that position as I felt discomfort and expected the blood could be because I injured myself, but the dr said they do not think so! he said as long as other tests are OK and there is no infection they need to check if there is any cancerous cells in the bladder as he think that could be the reason! I am very worry now, can not stop thinking that I might have cancer. I would appreciate any advise please. so if there is no infection what could the reason for bleeding after urinating? thanks 0 likes, 0 replies "
Substance Misuse,https://patient.info/forums/discuss/when-is-it-safe-to-take-an-advil-after-cocaine-use--690436,When is it safe to take an advil after cocaine use?,"Hi, So like an idiot, I tried cocaine for the first time this wednesday. We did not consume a huge amount. Probably around .1g for an entire night. I felt relatively fine after this with the exception of falling asleep much later. The day after we went out at night again but only at a bar and I only consumed 1 cocktail that night with no drugs. Then just yesterday we went out (again), this time to club. I drank 1 rome and coke and like an idiot consumed a very small amount of cocaine (2 small bumps for the entire night). I already had a weird voice the day before and now I think I caught the flu (which would make sens given were in the season here). So roughly 15 hours after my last small bump on cocaine, is it safe to take an advil for my flu? 0 likes, 2 replies "
Cystoscopy,https://patient.info/forums/discuss/recovery-time--743397,Recovery time?,"Hi all, On the 28 July I underwent a cystoscopy procedure due to a frequent urination problem that I have been dealing with since late last year. This was a flexible carried out using local anesthetic. I am very concerned that the procedure has caused damage to my prostate area. Prior to this I had no issues with my prostate, however since having the procedure done I feel as though the area has been ""bruised"" and with a dull ache around my lower back. The prostate itself was found to have no issue (i.e. it was not enlarged). Since having it done, I have not seen any blood so far, and have been drinking plenty of water. The hospital have only advised me to take painkillers if it gets too painful, and that the pain could take a week to subside. The part where the scope entered the prostate was pretty uncomfortable and I tensed up quite a bit while it was being done. The urologist had a good feel around. I suppose I am now concerned as to whether this pain will be permanent or if it will subside. Any advice would be appreciated. Thanks 0 likes, 0 replies "
Substance Misuse,https://patient.info/forums/discuss/finally-subutex-free-again-699882,Finally subutex free again,"after being on subutex for a total of probally 10 years due too a codeine addiction and boy did i wish i had researched subutex before i had it prescribed ,3 medical detoxes 3 relapses i finally had it .i stopped the subutex at 4mg and with the help of pregabalin a week in bed and hey still alive .Any advice please for the black cloud of hideous depression im under already on highest dose of antidepressants and please not go for a walk a day i do this i have a dog.Im considering ect treatment and wondered if anyone had any experience with this ,also any advice on how to survive paws would beexyremely grateful 0 likes, 2 replies "
Fibromyalgia Syndrome,https://patient.info/forums/discuss/does-having-fibromyalgia-after-shoulder-surgery-delay-the-healing-process--489786, Does having Fibromyalgia after shoulder surgery delay the healing process?,"i am wondering if having had Fibromyalgia for over eight years now and having had shoulder surgery back in September and still not having full mobility in my sideways arm movement .Could this be due to Fibromyalgia. Any comment s welcome as I am going nuts at the moment stuck at home not able to drive or work. How long can it take to get back to normal?????? 1 like, 6 replies "
